areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-10-16,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-10-16,V-22JUL-01 (Omicron BA.2.75),116127.0,11.4
E12000001,North East,region,2022-10-16,V-22OCT-01 (Omicron BQ.1),116127.0,23.2
E12000001,North East,region,2022-10-16,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-10-16,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-10-16,VOC-22APR-04 (Omicron BA.5),116127.0,61.8
E12000001,North East,region,2022-10-16,VOC-22JAN-01 (Omicron BA.2),116127.0,1.1
E12000001,North East,region,2022-10-09,Other,115847.0,3.0
E12000001,North East,region,2022-10-09,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-10-09,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-10-09,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-10-09,V-22JUL-01 (Omicron BA.2.75),115847.0,7.7
E12000001,North East,region,2022-10-09,V-22OCT-01 (Omicron BQ.1),115847.0,26.8
E12000001,North East,region,2022-10-09,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-10-09,VOC-22APR-03 (Omicron BA.4),115847.0,0.8
E12000001,North East,region,2022-10-09,VOC-22APR-04 (Omicron BA.5),115847.0,61.7
E12000001,North East,region,2022-10-09,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-10-02,Other,115612.0,3.6
E12000001,North East,region,2022-10-02,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-10-02,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-10-02,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-10-02,V-22JUL-01 (Omicron BA.2.75),115612.0,3.6
E12000001,North East,region,2022-10-02,V-22OCT-01 (Omicron BQ.1),115612.0,20.2
E12000001,North East,region,2022-10-02,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-10-02,VOC-22APR-03 (Omicron BA.4),115612.0,0.3
E12000001,North East,region,2022-10-02,VOC-22APR-04 (Omicron BA.5),115612.0,72.4
E12000001,North East,region,2022-10-02,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-09-25,Other,115275.0,6.5
E12000001,North East,region,2022-09-25,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-09-25,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-09-25,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-09-25,V-22JUL-01 (Omicron BA.2.75),115275.0,1.4
E12000001,North East,region,2022-09-25,V-22OCT-01 (Omicron BQ.1),115275.0,18.6
E12000001,North East,region,2022-09-25,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-09-25,VOC-22APR-03 (Omicron BA.4),115275.0,1.1
E12000001,North East,region,2022-09-25,VOC-22APR-04 (Omicron BA.5),115275.0,72.4
E12000001,North East,region,2022-09-25,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-09-18,Other,115000.0,6.1
E12000001,North East,region,2022-09-18,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-09-18,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-09-18,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-09-18,V-22JUL-01 (Omicron BA.2.75),115000.0,3.3
E12000001,North East,region,2022-09-18,V-22OCT-01 (Omicron BQ.1),115000.0,8.4
E12000001,North East,region,2022-09-18,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-09-18,VOC-22APR-03 (Omicron BA.4),115000.0,1.4
E12000001,North East,region,2022-09-18,VOC-22APR-04 (Omicron BA.5),115000.0,80.8
E12000001,North East,region,2022-09-18,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-09-11,Other,114786.0,4.7
E12000001,North East,region,2022-09-11,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-09-11,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-09-11,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-09-11,V-22JUL-01 (Omicron BA.2.75),114786.0,6.7
E12000001,North East,region,2022-09-11,V-22OCT-01 (Omicron BQ.1),114786.0,7.3
E12000001,North East,region,2022-09-11,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-09-11,VOC-22APR-03 (Omicron BA.4),114786.0,2.0
E12000001,North East,region,2022-09-11,VOC-22APR-04 (Omicron BA.5),114786.0,79.3
E12000001,North East,region,2022-09-11,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-09-04,Other,114636.0,17.3
E12000001,North East,region,2022-09-04,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-09-04,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-09-04,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-09-04,V-22JUL-01 (Omicron BA.2.75),114636.0,0.6
E12000001,North East,region,2022-09-04,V-22OCT-01 (Omicron BQ.1),114636.0,7.8
E12000001,North East,region,2022-09-04,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-09-04,VOC-22APR-03 (Omicron BA.4),114636.0,3.9
E12000001,North East,region,2022-09-04,VOC-22APR-04 (Omicron BA.5),114636.0,70.4
E12000001,North East,region,2022-09-04,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-08-28,Other,114457.0,4.9
E12000001,North East,region,2022-08-28,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-08-28,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-08-28,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-08-28,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-08-28,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-08-28,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-08-28,VOC-22APR-03 (Omicron BA.4),114457.0,2.9
E12000001,North East,region,2022-08-28,VOC-22APR-04 (Omicron BA.5),114457.0,91.2
